,id,cari,mig,sex,age,fam_size,rural_urban
2818,174911586,1,1,Woman,38,5,Rural
2819,174911582,3,0,Woman,58,2,Rural
2820,174911580,1,0,Man,20,5,Rural
2821,174911566,1,0,Woman,36,6,Rural
2822,174911503,2,0,Man,45,4,Rural
2823,174911437,2,0,Woman,30,4,Rural
2824,174909281,2,1,Woman,49,3,Rural
2825,174909278,2,1,Woman,32,5,Rural
2826,174909276,2,0,Man,54,4,Rural
2827,174909273,3,0,Woman,32,4,Rural
2828,174909270,1,0,Woman,64,4,Rural
2829,174908722,1,0,Woman,74,7,Rural
2830,174908719,1,0,Woman,26,3,Rural
2831,174908711,1,0,Woman,63,4,Rural
2832,174908706,1,0,Woman,23,3,Rural
2833,174906837,2,1,Woman,35,4,Urban
2834,174906749,2,0,Woman,62,2,Urban
2835,174906714,1,1,Woman,41,4,Urban
2836,174906677,2,1,Woman,30,10,Urban
2837,174905180,1,1,Man,44,2,Urban
2838,174905147,1,1,Woman,39,4,Rural
2839,174905135,1,1,Woman,24,12,Rural
2840,174905119,3,0,Woman,27,8,Rural
2841,174905114,1,0,Man,53,9,Rural
2842,174905108,2,0,Woman,53,1,Rural
2843,174905106,1,1,Man,58,2,Rural
2844,174905100,2,0,Woman,80,2,Urban
2845,174905096,1,0,Woman,72,5,Rural
2846,174905094,2,0,Woman,64,3,Rural
2847,174904849,1,0,Man,55,4,Rural
2848,174904846,2,0,Woman,49,4,Rural
2849,174904838,2,0,Man,83,2,Rural
2850,174904831,1,0,Woman,55,5,Rural
2851,174904821,2,0,Man,45,6,Rural
2852,174904760,1,0,Woman,61,3,Rural
2853,174904755,2,0,Man,52,5,Rural
2854,174904747,2,0,Woman,52,3,Rural
2855,174904742,2,0,Man,75,4,Rural
2856,174904733,2,1,Woman,75,4,Rural
2857,174904212,1,0,Woman,44,7,Rural
2858,174904208,2,0,Man,56,9,Rural
2859,174904166,1,1,Woman,32,5,Rural
2860,174904163,1,1,Woman,25,7,Rural
2861,174904068,2,0,Woman,42,3,Rural
