,id,mig_categ,cari,cari_yn,country,neighborhood,rural_urban,sex,age,fam_type,fam_size
2605,174925484,0.0,1,0,Guatemala,San Juan Ermita,Urban,Man,57,Biparental,3
3703,174087433,0.0,2,0,Guatemala,Quixal,Rural,Man,58,Biparental,4
956,175934276,0.0,2,0,Guatemala,Barrio San Jos_,Urban,Man,59,Biparental,6
2515,174937780,0.0,1,0,Guatemala,Aldea Ojechejel,Urban,Man,60,else,5
4972,175692597,0.0,2,0,Guatemala,SIPACAPA,Urban,Man,62,Biparental,5
4740,173215396,0.0,1,0,Guatemala,Canton Tonina,Rural,Man,62,Biparental,5
3350,174363504,0.0,2,0,Guatemala,FRATERNIDAD,Rural,Man,63,Biparental,2
4737,173215401,0.0,2,0,Guatemala,Conton Tonina,Rural,Man,63,Biparental,6
3414,174348271,0.0,2,0,Guatemala,San rafael pie de la cuesta,Urban,Man,63,Biparental,4
4262,173570850,0.0,1,0,Guatemala,Tuiquimamel,Rural,Man,65,Biparental,8
4198,173730919,0.0,1,0,Guatemala,Caserio los bujes,Rural,Man,65,Biparental,8
1729,175438691,0.0,2,0,Guatemala,Caserio nuevo san julian,Rural,Man,66,Biparental,2
3055,174667798,0.0,2,0,Guatemala,Chicol,Rural,Man,66,Biparental,3
4704,173216320,0.0,2,0,Guatemala,PEB'IL MAP,Rural,Man,66,Biparental,2
4543,173408952,0.0,1,0,Guatemala,CASA GRANDE,Urban,Man,67,else,13
330,176485143,0.0,1,0,Guatemala,Aldea cooperativa sechaj,Rural,Man,68,Biparental,1
3371,174350424,0.0,1,0,Guatemala,San rafael pie de la cuesta,Urban,Man,68,Biparental,7
4061,173767236,0.0,1,0,Guatemala,Tzala chiquito,Rural,Man,68,Biparental,2
2521,174937770,0.0,1,0,Guatemala,Caser_o Semuc,Urban,Man,70,Biparental,4
332,176485132,0.0,2,0,Guatemala,Aldea cooperativa sechay,Rural,Man,71,Biparental,3
3419,174348246,0.0,1,0,Guatemala,Urbano,Urban,Man,71,Biparental,2
3751,174047761,0.0,1,0,Guatemala,JULEN,Rural,Man,72,Biparental,2
1883,175293151,0.0,1,0,Guatemala,Sabana Grande,Rural,Man,72,Biparental,3
3888,174029457,0.0,2,0,Guatemala,Canton  canada el quetzal san marcos ,Urban,Man,74,Biparental,7
4954,172944310,0.0,2,0,Guatemala,MONAJIL,Rural,Man,74,Biparental,1
944,175934439,0.0,2,0,Guatemala,San Jose,Urban,Man,74,Biparental,3
3705,174087423,0.0,1,0,Guatemala,Socbal,Rural,Man,75,Biparental,2
