,_id,CARI_YN,mig_categ,CARI
897,175937995,1,2,3
898,175937993,0,1,1
899,175937991,1,0,3
900,175937988,0,0,2
901,175937985,0,1,2
902,175937613,1,0,3
903,175937612,1,0,3
904,175937610,1,0,3
905,175937608,1,0,3
906,175937607,1,3,3
907,175937606,1,0,4
908,175936390,0,0,2
909,175936389,0,0,1
910,175936388,0,0,1
911,175936387,1,0,3
912,175936386,0,0,1
913,175936385,0,0,2
914,175936146,1,3,3
915,175936145,0,0,1
916,175936144,1,0,3
917,175936141,1,1,3
918,175935548,1,1,3
919,175935366,0,0,2
920,175935365,0,0,2
921,175935364,0,1,1
922,175935362,0,0,2
923,175935254,0,0,1
924,175935252,0,0,1
925,175935251,0,0,1
926,175935250,0,0,2
927,175935249,0,0,2
928,175935248,0,0,2
929,175935247,0,0,2
930,175935246,0,0,2
931,175935231,0,0,1
932,175935159,0,0,1
933,175935156,0,0,1
934,175935155,0,0,1
935,175935154,0,0,1
936,175935151,0,0,1
937,175935148,0,0,2
938,175935147,0,1,2
939,175935145,0,1,2
940,175935143,0,3,2
941,175935140,0,2,2
942,175935139,0,0,1
943,175934442,0,0,1
944,175934439,0,0,2
945,175934434,1,0,3
946,175934429,0,0,1
947,175934425,0,0,1
948,175934287,0,0,1
949,175934286,0,1,1
950,175934284,0,0,1
951,175934282,0,0,2
952,175934280,0,0,1
953,175934281,1,1,3
954,175934279,1,0,3
955,175934278,0,0,2
956,175934276,0,0,2
957,175934274,1,1,3
958,175932446,0,1,1
959,175932444,0,0,2
960,175932442,0,1,1
961,175932440,0,1,2
962,175932439,0,0,1
963,175932437,0,0,1
964,175932435,0,1,1
965,175932027,0,1,1
966,175931974,0,0,2
967,175931293,0,0,2
968,175931290,0,0,1
969,175931037,0,0,2
970,175931036,0,0,2
971,175931033,0,0,2
972,175931031,0,0,2
973,175930357,0,1,1
974,175930355,0,0,1
975,175930353,0,1,2
976,175930352,0,1,1
977,175930351,0,0,1
978,175927673,0,1,1
979,175927671,0,0,1
980,175927667,0,0,1
981,175927663,0,0,1
982,175927656,0,0,2
983,175925386,0,0,2
984,175925152,0,0,2
985,175925151,0,0,2
986,175925124,0,1,2
987,175925119,0,0,2
988,175925092,0,1,2
989,175925086,0,0,2
990,175925081,0,1,1
991,175924902,0,1,2
992,175924422,0,1,1
993,175924420,0,1,1
994,175924414,1,0,3
995,175924408,1,1,3
996,175924403,0,,1
997,175924391,0,1,1
998,175924257,0,1,2
999,175924254,0,0,2
1000,175924253,0,1,2
1001,175924252,0,0,2
1002,175924251,0,0,2
1003,175924248,0,0,2
1004,175924082,0,1,2
1005,175923836,0,0,1
1006,175923834,0,0,2
1007,175923832,1,0,3
1008,175923827,0,1,2
1009,175923822,0,3,2
1010,175923818,0,3,1
1011,175923817,0,1,1
1012,175923814,0,0,2
1013,175923529,0,0,1
1014,175922893,0,0,2
1015,175922890,0,0,2
1016,175922884,0,0,1
1017,175922881,0,0,1
1018,175922758,0,0,1
1019,175922648,1,0,3
1020,175922645,0,1,2
1021,175922643,0,2,1
1022,175922503,0,0,2
1023,175922501,0,0,1
1024,175922499,0,1,1
1025,175922493,0,1,2
1026,175921873,0,1,2
1027,175921728,0,1,2
1028,175921726,0,0,2
1029,175921724,0,0,2
1030,175920803,0,0,1
1031,175920798,0,0,2
1032,175920792,0,0,1
1033,175920790,0,0,1
1034,175920788,0,1,1
1035,175920784,0,0,1
1036,175920383,0,1,1
1037,175920164,0,1,2
1038,175920160,0,,1
1039,175920149,0,1,1
1040,175920145,0,1,2
1041,175920142,0,1,1
1042,175920137,0,1,1
1043,175920133,0,1,2
1044,175919889,1,0,3
1045,175919887,0,0,2
1046,175919884,1,0,3
1047,175919881,0,0,2
1048,175919880,0,2,2
1049,175919876,0,0,2
1050,175919681,0,0,1
1051,175919676,0,0,2
1052,175919673,0,0,1
1053,175919670,0,1,1
1054,175919667,0,0,1
1055,175918157,0,0,2
1056,175918156,0,0,2
1057,175918155,0,1,2
1058,175918151,0,0,2
1059,175918148,0,1,2
1060,175917885,0,0,2
1061,175917882,0,0,1
1062,175917877,0,0,2
1063,175917874,0,0,2
1064,175917870,0,1,1
1065,175917646,0,0,2
1066,175917643,0,0,2
1067,175917630,0,1,2
1068,175917400,0,1,2
1069,175917397,0,0,1
1070,175917392,0,0,1
1071,175917382,0,0,1
1072,175917376,0,1,1
1073,175917103,0,1,2
1074,175917092,0,1,2
1075,175917041,0,0,1
1076,175917039,0,1,2
1077,175916843,0,0,2
1078,175916395,0,1,2
1079,175916392,0,0,1
1080,175916389,0,0,1
1081,175916385,0,0,2
1082,175916379,0,,2
1083,175916310,0,1,1
1084,175916296,0,1,1
1085,175916295,0,1,2
1086,175916259,0,1,1
1087,175916250,0,1,1
1088,175916242,0,1,1
1089,175916237,0,0,1
1090,175915480,0,1,2
1091,175913902,0,1,1
1092,175913860,0,1,1
1093,175912675,0,1,1
1094,175912670,0,1,2
1095,175912661,1,0,3
1096,175912657,0,1,1
1097,175912652,0,1,2
1098,175912635,0,1,2
1099,175912541,0,0,1
1100,175912538,0,0,2
1101,175912533,0,1,2
1102,175912531,0,0,2
1103,175912398,0,0,1
1104,175911149,0,0,2
1105,175910892,0,0,2
1106,175910885,1,1,3
1107,175910880,1,0,3
1108,175910875,1,2,3
1109,175910522,0,1,2
1110,175910514,1,0,3
1111,175910508,0,0,1
1112,175910503,1,1,3
1113,175910498,1,2,3
1114,175910040,0,1,2
1115,175910035,1,0,3
1116,175910031,0,0,2
1117,175909870,0,1,2
1118,175909864,0,1,2
1119,175909859,0,0,1
1120,175909855,0,3,1
1121,175909848,0,0,1
1122,175909846,0,1,1
1123,175909841,0,0,1
1124,175909719,0,0,1
1125,175909715,0,0,2
1126,175909710,0,,2
1127,175909706,1,0,3
1128,175909703,0,0,2
1129,175909641,0,0,2
1130,175909484,0,1,1
1131,175909478,0,1,2
1132,175909475,0,1,1
1133,175909369,0,1,1
1134,175909368,0,0,1
1135,175909366,0,1,1
1136,175909363,0,1,1
1137,175909276,0,1,2
1138,175909271,0,1,2
1139,175909261,0,1,1
1140,175909255,0,1,1
1141,175907900,0,1,2
1142,175905538,0,0,2
1143,175905535,0,0,2
1144,175905533,0,0,1
1145,175905506,0,0,1
1146,175905503,0,0,2
1147,175905501,0,1,1
1148,175905227,0,1,2
